round	timestamp	precision	controlled_rank	path_reuse	hyper_samples	find_threads	find_limit	deterministic	scratch_percentage	runtime_s	best_so_far_s	wall_s	expectation	absolute_error	valid	status	change	reasoning_for_change	hypothesis	observation	next_round_reasoning
11	2026-07-24T14:31:09+00:00	fp32	4	False	8	10	True	False	50	0.453777	0.423730	6.245743	-0.0557749420404	5.79596e-08	yes	discard	repeat best settings	Round 10 regressed to 1.846 seconds after rank was lowered to 2, strongly supporting a causal threshold effect. Restoring only controlled_rank=4 tests whether the fast side of the effect repeats.	controlled_rank=4 will remain valid and complete below 0.55 seconds.	Runtime regressed 1.07x, from 0.424s to 0.454s.	Round 11 repeated the rank-4 fast regime at 0.454 seconds. Testing only controlled_rank=3 now locates whether the sharp improvement begins exactly at rank 4 for the circuit's three-control gates.
12	2026-07-24T14:31:29+00:00	fp32	3	False	8	10	True	False	50	0.444942	0.423730	7.312105	-0.0557749420404	5.79596e-08	yes	discard	controlled_rank: 4 -> 3	Round 11 repeated the rank-4 fast regime at 0.454 seconds. Testing only controlled_rank=3 now locates whether the sharp improvement begins exactly at rank 4 for the circuit's three-control gates.	controlled_rank=3 will remain valid but take more than 1.5 seconds.	Runtime regressed 1.05x, from 0.424s to 0.445s.	Round 12 showed rank 3 is also fast at 0.445 seconds, so the boundary is below rank 4. With contraction work now small, lowering only path-search hyper_samples from 8 to 1 tests whether sampling overhead is material.
13	2026-07-24T14:31:52+00:00	fp32	3	False	1	10	True	False	50	0.445461	0.423730	7.012418	-0.0557749420404	5.79596e-08	yes	discard	controlled_rank: 4 -> 3; hyper_samples: 8 -> 1	Round 12 showed rank 3 is also fast at 0.445 seconds, so the boundary is below rank 4. With contraction work now small, lowering only path-search hyper_samples from 8 to 1 tests whether sampling overhead is material.	hyper_samples=1 will remain valid and reduce runtime by at least 10% relative to round 12.	Runtime regressed 1.05x, from 0.424s to 0.445s.	Round 13 at one hyper-sample remained at 0.445 seconds, showing no detectable gain over eight samples. Raising only hyper_samples to 128 is a high-contrast test of whether search sampling affects this fast regime.
14	2026-07-24T14:32:17+00:00	fp32	3	False	128	10	True	False	50	0.446201	0.423730	7.166631	-0.0557749420404	5.79596e-08	yes	discard	controlled_rank: 4 -> 3; hyper_samples: 8 -> 128	Round 13 at one hyper-sample remained at 0.445 seconds, showing no detectable gain over eight samples. Raising only hyper_samples to 128 is a high-contrast test of whether search sampling affects this fast regime.	hyper_samples=128 will remain valid but increase runtime by at least 20% relative to round 13.	Runtime regressed 1.05x, from 0.424s to 0.446s.	Round 14 at 128 hyper-samples was still 0.446 seconds, falsifying a material sampling-cost effect across the tested range. Restoring only hyper_samples=8 provides a repeat of the rank-3 reference configuration.
15	2026-07-24T14:32:38+00:00	fp32	3	False	8	10	True	False	50	0.448110	0.423730	6.350328	-0.0557749420404	5.79596e-08	yes	discard	controlled_rank: 4 -> 3	Round 14 at 128 hyper-samples was still 0.446 seconds, falsifying a material sampling-cost effect across the tested range. Restoring only hyper_samples=8 provides a repeat of the rank-3 reference configuration.	hyper_samples=8 will remain valid and finish within 5% of round 12's 0.445-second result.	Runtime regressed 1.06x, from 0.424s to 0.448s.	Round 15 repeated the rank-3 reference at 0.448 seconds and confirmed hyper-sample insensitivity. Reducing only find_threads from 10 to 1 tests whether thread-management overhead matters for this short path search.
16	2026-07-24T14:32:56+00:00	fp32	3	False	8	1	True	False	50	0.467193	0.423730	6.241563	-0.0557749420404	5.79596e-08	yes	discard	controlled_rank: 4 -> 3; find_threads: 10 -> 1	Round 15 repeated the rank-3 reference at 0.448 seconds and confirmed hyper-sample insensitivity. Reducing only find_threads from 10 to 1 tests whether thread-management overhead matters for this short path search.	find_threads=1 will remain valid and reduce runtime by at least 5% relative to round 15.	Runtime regressed 1.10x, from 0.424s to 0.467s.	Round 16 at one find thread took 0.467 seconds, only 4.3% slower than the 10-thread round and within the noisy band. Raising only find_threads to 64 is a high-contrast test for a meaningful thread-count effect.
17	2026-07-24T14:33:17+00:00	fp32	3	False	8	64	True	False	50	0.469472	0.423730	6.715305	-0.0557749420404	5.79596e-08	yes	discard	controlled_rank: 4 -> 3; find_threads: 10 -> 64	Round 16 at one find thread took 0.467 seconds, only 4.3% slower than the 10-thread round and within the noisy band. Raising only find_threads to 64 is a high-contrast test for a meaningful thread-count effect.	find_threads=64 will remain valid but will not improve by at least 5% relative to round 15's 0.448 seconds.	Runtime regressed 1.11x, from 0.424s to 0.469s.	Round 17 at 64 threads took 0.469 seconds and did not improve on the 10-thread reference; both tested extremes were slightly slower. Restoring only find_threads=10 provides a direct repeat before the final control.
18	2026-07-24T14:33:55+00:00	fp32	3	False	8	10	True	False	50	0.461904	0.423730	7.232055	-0.0557749420404	5.79596e-08	yes	discard	controlled_rank: 4 -> 3	Round 17 at 64 threads took 0.469 seconds and did not improve on the 10-thread reference; both tested extremes were slightly slower. Restoring only find_threads=10 provides a direct repeat before the final control.	find_threads=10 will remain valid and finish within 5% of round 15's 0.448-second result.	Runtime regressed 1.09x, from 0.424s to 0.462s.	Round 18 returned to 0.462 seconds at 10 threads, within the noisy band of the earlier reference. Changing only deterministic mode tests whether fixed path selection materially affects the fast rank-3 configuration.
19	2026-07-24T14:34:27+00:00	fp32	3	False	8	10	True	True	50	0.445824	0.423730	7.538643	-0.0557749420404	5.79596e-08	yes	discard	controlled_rank: 4 -> 3; deterministic: False -> True	Round 18 returned to 0.462 seconds at 10 threads, within the noisy band of the earlier reference. Changing only deterministic mode tests whether fixed path selection materially affects the fast rank-3 configuration.	deterministic=True will remain valid and change runtime by less than 10% relative to round 18.	Runtime regressed 1.05x, from 0.424s to 0.446s.	Round 19 with deterministic search took 0.446 seconds, only 3.5% faster than round 18 and within the noisy band. Reversing only deterministic mode provides the final repeat of the rank-3 reference.
20	2026-07-24T14:34:47+00:00	fp32	3	False	8	10	True	False	50	0.447012	0.423730	7.455220	-0.0557749420404	5.79596e-08	yes	discard	controlled_rank: 4 -> 3	Round 19 with deterministic search took 0.446 seconds, only 3.5% faster than round 18 and within the noisy band. Reversing only deterministic mode provides the final repeat of the rank-3 reference.	deterministic=False will remain valid and finish within 5% of round 18's 0.462-second result.	Runtime regressed 1.05x, from 0.424s to 0.447s.	pending — the researcher has not selected the next round
